standardized_inchikey,standardized_SMILES,RT
MQTOSJVFKKJCRP-PVFNQHCDSA-N,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,5.98
WFDXOXNFNRHQEC-GHRIWEEISA-N,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,9.02
KPYSYYIEGFHWSV-UHFFFAOYSA-N,NCC(CC(=O)O)c1ccc(Cl)cc1,4.27
ANZXOIAKUNOVQU-UHFFFAOYSA-N,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,5.16
VVUYEFBRTFASAH-UHFFFAOYSA-N,CCN(CCO)CCn1c(Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,5.24
VZSXTYKGYWISGQ-UHFFFAOYSA-N,CN1CCC(N(Cc2ccccc2)c2ccccc2)CC1,7.77
MCOQHIWZJUDQIC-UHFFFAOYSA-N,O=C(Nc1cccc(Cl)c1)OCC#CCCl,9.74
BWMPANCYUOEPFB-UHFFFAOYSA-N,O=C1N(CCN2CCCCC2)C(=O)C(c2ccccc2)(N2CCCCC2)C(=O)N1CCN1CCCCC1,7.64
VHMRXGAIDDCGDU-UHFFFAOYSA-N,CCC(N)Cc1ccc2c(c1)OCO2,4.73
JPYQFYIEOUVJDU-UHFFFAOYSA-N,O=C(CCCl)NCc1ccccc1,6.27
FFQPZWRNXKPNPX-UHFFFAOYSA-N,CCC(Oc1ccc(F)c(C(F)(F)F)c1)C(=O)NCc1ccccc1,10.64
ZPQPDBIHYCBNIG-UHFFFAOYSA-N,CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,4.93
IVQOFBKHQCTVQV-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,6.08
CJPQIRJHIZUAQP-UHFFFAOYSA-N,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,10.89
HYJSGOXICXYZGS-UHFFFAOYSA-N,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,5.58
XEGGRYVFLWGFHI-UHFFFAOYSA-N,CNC(=O)Oc1cccc2c1OC(C)(C)O2,7.02
HDWIHXWEUNVBIY-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,6.82
UFPBEOUEIWBEML-UHFFFAOYSA-N,CCOC(=O)CCN(SNCC(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,11.92
RIOXQFHNBCKOKP-UHFFFAOYSA-N,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,5.46
FEJKLNWAOXSSNR-UHFFFAOYSA-N,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,7.41
PFJJMJDEVDLPNE-UHFFFAOYSA-N,CC1COc2ccccc2N1C(=O)C(Cl)Cl,8.87
FEBOTPHFXYHVPL-UHFFFAOYSA-N,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,5.96
JTUQXGZRVLWBCR-UHFFFAOYSA-N,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1,8.32
XMQFTWRPUQYINF-UHFFFAOYSA-N,COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,8.77
RRNIZKPFKNDSRS-UHFFFAOYSA-N,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,10.51
YFXPPSKYMBTNAV-UHFFFAOYSA-N,CN(C)C(CSS(=O)(=O)c1ccccc1)CSS(=O)(=O)c1ccccc1,9.6
ZOMSMJKLGFBRBS-UHFFFAOYSA-N,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,5.22
USRKFGIXLGKMKU-ZRKZCGFPSA-N,CC(C)OC(=O)NC(C(=O)N[C@H](C)c1nc2ccc(F)cc2s1)C(C)C,9.48
GIJXKZJWITVLHI-RTBURBONSA-N,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,7.97
SIYLLGKDQZGJHK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,11.6
